#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
,00081271CM-996,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,933 Louise Avenue Suite 105,Charlotte,,28204,,,,,Mecklenburg,00251894DG,10/5/2017 10:28,Active
58,00081847CM-999,Hops Restaurant Bar and Brewery,Hops of the Carolinas Limited,Cancelled,16815 Caldwell Creek Drive,Huntersville,,28078,2701 North Rocky Point Drive Suite 300,Tampa,FL ,33607,Mecklenburg,00081847BM,8/20/1998,Cancelled
59,00081847CM-998,Hops Restaurant Bar and Brewery,Hops of the Carolinas Limited,Cancelled,9807 South Blvd,Charlotte,,28273,2701 North Rocky Point Drive Suite 300,Tampa,FL ,33607,Mecklenburg,00086350BM,8/20/1998,Cancelled
60,00082756CM-999,Rock Bottom Restaurant and Brewery,Big River Breweries Inc,Active,"401 North Tryon Street, Suite 100",Charlotte,,28202,2001 Riverside Drive Suite 3100,Chattanooga,TN ,37406,Mecklenburg,00082756BM,3/23/1998,Active
61,00083380CM-999,Olde Hickory Brewery,O H B Inc,Active,2828 Hwy 70 West,Hickory,,28602,,,,,Catawba,00083380BW,4/15/1998,Active
,00083380CM-999,Olde Hickory Brewery,O H B Inc,Active,2828 Hwy 70 West,Hickory,,28602,,,,,Catawba,00083380BM,4/15/1998,Active
62,00083380CM-998,Olde Hickory Brewery,O H B Inc,Active,2 3rd Street SW,Hickory,,28602,222 Union Square,Hickory,NC ,28601,Catawba,00096810BM,4/6/2000,Active
,00083380CM-998,Olde Hickory Brewery,O H B Inc,Active,2 3rd Street SW,Hickory,,28602,222 Union Square,Hickory,NC ,28601,Catawba,00096810BW,3/27/2000,Active
,00083380CM-998,Olde Hickory Brewery,O H B Inc,Active,2 3rd Street SW,Hickory,,28602,222 Union Square,Hickory,NC ,28601,Catawba,00083380DG,9/8/2010,Active
63,00084329CM-998,Carolina Beer Company,Carolina Beer and Beverage LLC,Cancelled,110 Barley Park Lane,Mooresville,,28115,PO Box 1183,Mooresville,NC ,28115,Iredell,00090496BM,3/18/1999,Cancelled
,00084329CM-998,Carolina Beer Company,Carolina Beer and Beverage LLC,Cancelled,110 Barley Park Lane,Mooresville,,28115,PO Box 1183,Mooresville,NC ,28115,Iredell,00090496BK,5/26/2004,Cancelled
