#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
,00230611CM-998,Booneshine Brewing Company,Booneshine Brewing Company Inc,Active,465 Industrial Park Drive,Boone,,28607,,,,,Watauga,00266820BM,11/9/2018 13:53,Active
,00230611CM-998,Booneshine Brewing Company,Booneshine Brewing Company Inc,Active,465 Industrial Park Drive,Boone,,28607,,,,,Watauga,00266820DG,11/9/2018 13:53,Active
325,00230785CM-999,Wooden Robot Brewery,Wooden Robot Brewery LLC,Active,1440 South Tryon Street Suite 110,Charlotte,,28203,,,,,Mecklenburg,00230785DG,9/9/2016 12:14,Active
,00230785CM-999,Wooden Robot Brewery,Wooden Robot Brewery LLC,Active,1440 South Tryon Street Suite 110,Charlotte,,28203,,,,,Mecklenburg,00230785BM,9/9/2016 12:14,Active
,00230785CM-999,Wooden Robot Brewery,Wooden Robot Brewery LLC,Active,1440 South Tryon Street Suite 110,Charlotte,,28203,,,,,Mecklenburg,00230785BW,9/9/2016 12:14,Active
326,00230785CM-998,Wooden Robot Brewery,Wooden Robot Brewery LLC,Active,416 East 36th Street Suite 100,Charlotte,,28205,1440 South Tryon Street Suite 110,Charlotte,NC ,28203,Mecklenburg,00279793BW,11/19/2019 15:27,Active
,00230785CM-998,Wooden Robot Brewery,Wooden Robot Brewery LLC,Active,416 East 36th Street Suite 100,Charlotte,,28205,1440 South Tryon Street Suite 110,Charlotte,NC ,28203,Mecklenburg,00279793BM,11/19/2019 15:27,Active
,00230785CM-998,Wooden Robot Brewery,Wooden Robot Brewery LLC,Active,416 East 36th Street Suite 100,Charlotte,,28205,1440 South Tryon Street Suite 110,Charlotte,NC ,28203,Mecklenburg,00279793DG,11/19/2019 15:27,Active
327,00230969CM-999,Durham Distillery,Durham Distillery LLC,Cancelled,711 Washington Street Suite 200,Durham,,27701,5405 Grandhaven Drive,Durham,NC ,27713,Durham,00230969DH,11/15/2016 15:17,Cancelled
,00230969CM-999,Durham Distillery,Durham Distillery LLC,Cancelled,711 Washington Street Suite 200,Durham,,27701,5405 Grandhaven Drive,Durham,NC ,27713,Durham,00230969SE,11/16/2018 10:33,Cancelled
,00230969CM-999,Durham Distillery,Durham Distillery LLC,Cancelled,711 Washington Street Suite 200,Durham,,27701,5405 Grandhaven Drive,Durham,NC ,27713,Durham,00230969DI,11/15/2016 15:17,Cancelled
328,00231044CM-999,YesterYears Brewery,YesterYears Brewery LLC,Cancelled,300 East Main Street Suite C,Carrboro,,27510,,,,,Orange,00231044DG,6/16/2016 15:55,Cancelled
,00231044CM-999,YesterYears Brewery,YesterYears Brewery LLC,Cancelled,300 East Main Street Suite C,Carrboro,,27510,,,,,Orange,00231044BW,6/16/2016 15:55,Cancelled
,00231044CM-999,YesterYears Brewery,YesterYears Brewery LLC,Cancelled,300 East Main Street Suite C,Carrboro,,27510,,,,,Orange,00231044BM,6/16/2016 15:55,Cancelled
329,00231620CM-999,Neuse River Brewing Company,Neuse River Brewing Company,Active,518 Pershing Road Suite 100,Raleigh,,27608,,,,,Wake,00231620DG,11/23/2016 9:17,Active
,00231620CM-999,Neuse River Brewing Company,Neuse River Brewing Company,Active,518 Pershing Road Suite 100,Raleigh,,27608,,,,,Wake,00231620BM,11/23/2016 9:17,Active
,00231620CM-999,Neuse River Brewing Company,Neuse River Brewing Company,Active,518 Pershing Road Suite 100,Raleigh,,27608,,,,,Wake,00231620BW,11/23/2016 9:17,Active
330,00231750CM-999,Hi Wire Brewing,Three Ring Brewing Company LLC,Active,197 Hilliard Avenue,Asheville,,28801,,,,,Buncombe,00231750BM,11/23/2016 10:42,Active
,00231750CM-999,Hi Wire Brewing,Three Ring Brewing Company LLC,Active,197 Hilliard Avenue,Asheville,,28801,,,,,Buncombe,00231750DG,11/23/2016 10:42,Active
,00231750CM-999,Hi Wire Brewing,Three Ring Brewing Company LLC,Active,197 Hilliard Avenue,Asheville,,28801,,,,,Buncombe,00231750BW,11/23/2016 10:42,Active
331,00231750CM-998,Hi Wire Brewing,Three Ring Brewing Company LLC,Active,2A Huntsman Place,Asheville,,28803,,,,,Buncombe,00231753BM,11/23/2016 10:45,Active
,00231750CM-998,Hi Wire Brewing,Three Ring Brewing Company LLC,Active,2A Huntsman Place,Asheville,,28803,,,,,Buncombe,00231753DG,11/23/2016 10:45,Active
,00231750CM-998,Hi Wire Brewing,Three Ring Brewing Company LLC,Active,2A Huntsman Place,Asheville,,28803,,,,,Buncombe,00231753BW,11/23/2016 10:45,Active
332,00231898CM-999,Oskar Blues Brewery,CANarchy Craft Brewery Collective LLC,Active,342 Mountain Industrial Drive,Brevard,,28712,1800 Pike Road ,Longmont,CO ,80501,Transylvania,00231898BW,1/29/2016 12:44,Active
,00231898CM-999,Oskar Blues Brewery,CANarchy Craft Brewery Collective LLC,Active,342 Mountain Industrial Drive,Brevard,,28712,1800 Pike Road ,Longmont,CO ,80501,Transylvania,00231898DG,1/29/2016 12:44,Active
,00231898CM-999,Oskar Blues Brewery,CANarchy Craft Brewery Collective LLC,Active,342 Mountain Industrial Drive,Brevard,,28712,1800 Pike Road ,Longmont,CO ,80501,Transylvania,00231898BM,1/29/2016 12:44,Active
333,00231898CM-,Collaboratory,CANarchy Craft Brewery Collective LLC,Pending-Temporary,39 North Lexington Avenue,Asheville,,28801,1800 Pike Road,Longmont,CO ,80501,Buncombe,,,
334,00231903CM-999,Doc Porters Distillery,Doc Porters Distillery LLC,Active,232 East Peterson Drive,Charlotte,,28217,,,,,Mecklenburg,00231903DI,11/23/2016 8:58,Active
,00231903CM-999,Doc Porters Distillery,Doc Porters Distillery LLC,Active,232 East Peterson Drive,Charlotte,,28217,,,,,Mecklenburg,00231903DH,11/23/2016 8:58,Active
,00231903CM-999,Doc Porters Distillery,Doc Porters Distillery LLC,Active,232 East Peterson Drive,Charlotte,,28217,,,,,Mecklenburg,00231903SE,8/3/2017 9:48,Active
335,00231976CM-999,Ponysaurus Brewing Company,Ponysaurus Brewing LLC,Active,219 Hood Street,Durham,,27701,,,,,Durham,00231976BM,10/20/2016 16:25,Active
,00231976CM-999,Ponysaurus Brewing Company,Ponysaurus Brewing LLC,Active,219 Hood Street,Durham,,27701,,,,,Durham,00231976BW,10/20/2016 16:25,Active
,00231976CM-999,Ponysaurus Brewing Company,Ponysaurus Brewing LLC,Active,219 Hood Street,Durham,,27701,,,,,Durham,00231976DG,10/20/2016 16:25,Active
336,00231996CM-999,Newgrass Brewing Company,Newgrass Brewing Company LLC,Active,213 South Lafayette Street,Shelby,,28150,,,,,Cleveland,00231996DG,9/9/2016 12:04,Active
,00231996CM-999,Newgrass Brewing Company,Newgrass Brewing Company LLC,Active,213 South Lafayette Street,Shelby,,28150,,,,,Cleveland,00231996BW,9/9/2016 12:04,Active
,00231996CM-999,Newgrass Brewing Company,Newgrass Brewing Company LLC,Active,213 South Lafayette Street,Shelby,,28150,,,,,Cleveland,00231996BM,9/9/2016 12:04,Active
337,00232622CM-999,Fainting Goat Brewing Company,Crazy House Brewing LLC,Cancelled,330 South Main Street,Fuquay Varina,,27526,,,,,Wake,00232622DG,11/23/2016 9:01,Cancelled
,00232622CM-999,Fainting Goat Brewing Company,Crazy House Brewing LLC,Cancelled,330 South Main Street,Fuquay Varina,,27526,,,,,Wake,00232622BW,11/23/2016 9:01,Cancelled
,00232622CM-999,Fainting Goat Brewing Company,Crazy House Brewing LLC,Cancelled,330 South Main Street,Fuquay Varina,,27526,,,,,Wake,00232622BM,11/23/2016 9:01,Cancelled
338,00232622CM-,Fainting Goat Brewing Company,Crazy House Brewing LLC,Pending-Temporary,102 West Parrish Drive,Benson,,27504,330 South Main Street,Fuquay Varina,NC ,27526,Johnston,,,
339,00232630CM-999,Compass Rose Brewery,Compass Rose Brewery LLC,Active,3201 Northside Drive Suite 101,Raleigh,,27615,,,,,Wake,00232630BM,2/4/2016 15:59,Active
,00232630CM-999,Compass Rose Brewery,Compass Rose Brewery LLC,Active,3201 Northside Drive Suite 101,Raleigh,,27615,,,,,Wake,00232630DG,2/4/2016 15:59,Active
,00232630CM-999,Compass Rose Brewery,Compass Rose Brewery LLC,Active,3201 Northside Drive Suite 101,Raleigh,,27615,,,,,Wake,00232630BW,2/4/2016 15:59,Active
340,00232871CM-999,Regulator Brewing Company,Regulator Brewing Company LLC,Active,416 St Marys Road,Hillsborough,,27278,PO Box 721,Hillsborough,NC ,27278,Orange,00232871BW,11/23/2016 10:26,Active
,00232871CM-999,Regulator Brewing Company,Regulator Brewing Company LLC,Active,416 St Marys Road,Hillsborough,,27278,PO Box 721,Hillsborough,NC ,27278,Orange,00232871DG,11/23/2016 10:26,Active
,00232871CM-999,Regulator Brewing Company,Regulator Brewing Company LLC,Active,416 St Marys Road,Hillsborough,,27278,PO Box 721,Hillsborough,NC ,27278,Orange,00232871BM,11/23/2016 10:26,Active
341,00233950CM-999,Seven Jars Products,Seven Jars Products LLC,Active,6148-B Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00233950WW,2/1/2016 12:51,Active
,00233950CM-999,Seven Jars Products,Seven Jars Products LLC,Active,6148-B Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00233950DG,2/1/2016 12:51,Active
,00233950CM-999,Seven Jars Products,Seven Jars Products LLC,Active,6148-B Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00233950WE,2/1/2016 12:51,Active
,00233950CM-999,Seven Jars Products,Seven Jars Products LLC,Active,6148-B Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00233950UW,2/1/2016 12:51,Active
,00233950CM-999,Seven Jars Products,Seven Jars Products LLC,Active,6148-B Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00233950BW,2/1/2016 12:51,Active
,00233950CM-999,Seven Jars Products,Seven Jars Products LLC,Active,6148-B Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00233950BM,2/1/2016 12:51,Active
342,00234072CM-999,Gunsmoke Distillery,Galloway Precision Products Inc,Cancelled,34 Redmond Drive Unit G,Fletcher,,28732,135 Emmas Grove Road,Fletcher,NC ,28732,Buncombe,00234072DI,11/23/2016 8:36,Cancelled
343,00234470CM-999,Salud Cerveceria,Salud LLC,Active,3306 North Davidson Street,Charlotte,,28205,,,,,Mecklenburg,00234470BM,3/7/2017 11:28,Active
,00234470CM-999,Salud Cerveceria,Salud LLC,Active,3306 North Davidson Street,Charlotte,,28205,,,,,Mecklenburg,00234470DG,3/7/2017 11:28,Active
344,00234639CM-999,Lynnwood Brewing,Lynnwood Brewing Inc,Active,1053 East Whitaker Mill Road,Raleigh,,27604,1909 Banbury Road,Raleigh,NC ,27608,Wake,00234639BW,8/10/2016 12:07,Active
,00234639CM-999,Lynnwood Brewing,Lynnwood Brewing Inc,Active,1053 East Whitaker Mill Road,Raleigh,,27604,1909 Banbury Road,Raleigh,NC ,27608,Wake,00234639DG,8/10/2016 12:07,Active
,00234639CM-999,Lynnwood Brewing,Lynnwood Brewing Inc,Active,1053 East Whitaker Mill Road,Raleigh,,27604,1909 Banbury Road,Raleigh,NC ,27608,Wake,00234639BM,8/10/2016 12:07,Active
345,00234848CM-999,High Branch Brewing Company,High Branch Brewing Company LLC,Active,325 McGill Avenue NW Suite 148,Concord,,28027,3430 Streamside Drive,Davidson,NC ,28036,Cabarrus,00234848BW,11/28/2016 10:44,Active
,00234848CM-999,High Branch Brewing Company,High Branch Brewing Company LLC,Active,325 McGill Avenue NW Suite 148,Concord,,28027,3430 Streamside Drive,Davidson,NC ,28036,Cabarrus,00234848DG,11/28/2016 10:44,Active
,00234848CM-999,High Branch Brewing Company,High Branch Brewing Company LLC,Active,325 McGill Avenue NW Suite 148,Concord,,28027,3430 Streamside Drive,Davidson,NC ,28036,Cabarrus,00234848BM,11/28/2016 10:44,Active
346,00234975CM-999,Three Spirits Brewery,Three Spirits Brewery LLC,Cancelled,5046 Old Pineville Road Suite 110,Charlotte,,28217,,,,,Mecklenburg,00234975BM,12/2/2016 12:43,Cancelled
,00234975CM-999,Three Spirits Brewery,Three Spirits Brewery LLC,Cancelled,5046 Old Pineville Road Suite 110,Charlotte,,28217,,,,,Mecklenburg,00234975BW,12/2/2016 12:43,Cancelled
,00234975CM-999,Three Spirits Brewery,Three Spirits Brewery LLC,Cancelled,5046 Old Pineville Road Suite 110,Charlotte,,28217,,,,,Mecklenburg,00234975DG,12/2/2016 12:43,Cancelled
347,00235173CM-999,Waterline Brewing Company,Waterline Brewing Company LLC,Active,721 Surry Street,Wilmington,,28401,,,,,New Hanover,00235173BW,9/9/2016 12:06,Active
,00235173CM-999,Waterline Brewing Company,Waterline Brewing Company LLC,Active,721 Surry Street,Wilmington,,28401,,,,,New Hanover,00235173DG,9/9/2016 12:06,Active
,00235173CM-999,Waterline Brewing Company,Waterline Brewing Company LLC,Active,721 Surry Street,Wilmington,,28401,,,,,New Hanover,00235173BM,9/9/2016 12:06,Active
348,00235208CM-999,Zebulon Artisan Ales,Zebulon Brewing LLC,Active,8 Merchants Alley,Weaverville,,28787,17 Covington Street,Asheville,NC ,28806,Buncombe,00235208DG,9/9/2016 12:17,Active
,00235208CM-999,Zebulon Artisan Ales,Zebulon Brewing LLC,Active,8 Merchants Alley,Weaverville,,28787,17 Covington Street,Asheville,NC ,28806,Buncombe,00235208BM,9/9/2016 12:17,Active
,00235208CM-999,Zebulon Artisan Ales,Zebulon Brewing LLC,Active,8 Merchants Alley,Weaverville,,28787,17 Covington Street,Asheville,NC ,28806,Buncombe,00235208BW,9/9/2016 12:17,Active
349,00235345CM-999,Dalton Distillery,Dalton Distillery LLC,Active,251 Biltmore Avenue Suite 200,Asheville,,28801,,,,,Buncombe,00235345DI,3/13/2017 10:00,Active
,00235345CM-999,Dalton Distillery,Dalton Distillery LLC,Active,251 Biltmore Avenue Suite 200,Asheville,,28801,,,,,Buncombe,00235345SL,3/13/2017 10:00,Active
,00235345CM-999,Dalton Distillery,Dalton Distillery LLC,Active,251 Biltmore Avenue Suite 200,Asheville,,28801,,,,,Buncombe,00235345BK,3/13/2017 10:00,Active
,00235345CM-999,Dalton Distillery,Dalton Distillery LLC,Active,251 Biltmore Avenue Suite 200,Asheville,,28801,,,,,Buncombe,00235345DH,5/29/2018 14:54,Active
,00235345CM-999,Dalton Distillery,Dalton Distillery LLC,Active,251 Biltmore Avenue Suite 200,Asheville,,28801,,,,,Buncombe,00235345SE,3/20/2018 14:53,Active
350,00235479CM-999,Trollingwood Taproom and Brewery,Longleaf Brewing Company LLC,Cancelled,707 Dickinson Avenue,Geenville,,27834,,,,,Pitt,00235479BW,3/13/2017 9:54,Cancelled
,00235479CM-999,Trollingwood Taproom and Brewery,Longleaf Brewing Company LLC,Cancelled,707 Dickinson Avenue,Geenville,,27834,,,,,Pitt,00235479BM,3/13/2017 9:54,Cancelled
351,00235524CM-999,Oaklee Distilling Company,Oaklee Distilling Company LLC,Active,13 North Main Street,Wendell,,27591,3931 Wendell Blvd,Wendell,NC ,27591,Wake,00235524DI,6/16/2016 12:53,Active
,00235524CM-999,Oaklee Distilling Company,Oaklee Distilling Company LLC,Active,13 North Main Street,Wendell,,27591,3931 Wendell Blvd,Wendell,NC ,27591,Wake,00235524SE,9/27/2017 15:35,Active
,00235524CM-999,Oaklee Distilling Company,Oaklee Distilling Company LLC,Active,13 North Main Street,Wendell,,27591,3931 Wendell Blvd,Wendell,NC ,27591,Wake,00235524SL,6/16/2016 12:53,Active
,00235524CM-999,Oaklee Distilling Company,Oaklee Distilling Company LLC,Active,13 North Main Street,Wendell,,27591,3931 Wendell Blvd,Wendell,NC ,27591,Wake,00235524DH,6/16/2016 12:53,Active
352,00235820CM-999,Sweeten Creek Brewing,Justice Brewing LLC,Active,1127 Sweeten Creek Road,Asheville,,28803,337 White Pine Drive,Fletcher,NC ,28732,Buncombe,00235820BM,5/31/2017 14:33,Active
,00235820CM-999,Sweeten Creek Brewing,Justice Brewing LLC,Active,1127 Sweeten Creek Road,Asheville,,28803,337 White Pine Drive,Fletcher,NC ,28732,Buncombe,00235820BW,5/31/2017 14:33,Active
,00235820CM-999,Sweeten Creek Brewing,Justice Brewing LLC,Active,1127 Sweeten Creek Road,Asheville,,28803,337 White Pine Drive,Fletcher,NC ,28732,Buncombe,00235820DG,5/31/2017 14:33,Active
353,00235906CM-999,Legion Brewing,Legion Brewing Company LLC,Active,1906 Commonwealth Avenue,Charlotte,,28205,,,,,Mecklenburg,00235906DG,11/15/2016 14:55,Active
,00235906CM-999,Legion Brewing,Legion Brewing Company LLC,Active,1906 Commonwealth Avenue,Charlotte,,28205,,,,,Mecklenburg,00235906BM,11/15/2016 14:55,Active
,00235906CM-999,Legion Brewing,Legion Brewing Company LLC,Active,1906 Commonwealth Avenue,Charlotte,,28205,,,,,Mecklenburg,00235906BW,11/15/2016 14:55,Active
354,00235944CM-999,Sanctuary Brewing Company ,Sanctuary Brewing Company LLC,Active,147 First Avenue East,Hendersonville,,28792,,,,,Henderson,00235944BM,11/23/2016 10:34,Active
,00235944CM-999,Sanctuary Brewing Company ,Sanctuary Brewing Company LLC,Active,147 First Avenue East,Hendersonville,,28792,,,,,Henderson,00235944BW,11/23/2016 10:34,Active
,00235944CM-999,Sanctuary Brewing Company ,Sanctuary Brewing Company LLC,Active,147 First Avenue East,Hendersonville,,28792,,,,,Henderson,00235944DG,11/23/2016 10:34,Active
355,00235978CM-999,Hoppy Trout Brewing Company,Hoppy Trout Brewing Company LLC,Active,911 Main Street,Andrews,,28901,PO Box 751,Andrews,NC ,28901,Cherokee,00235978DG,5/31/2017 12:50,Active
,00235978CM-999,Hoppy Trout Brewing Company,Hoppy Trout Brewing Company LLC,Active,911 Main Street,Andrews,,28901,PO Box 751,Andrews,NC ,28901,Cherokee,00235978BW,5/31/2017 12:50,Active
,00235978CM-999,Hoppy Trout Brewing Company,Hoppy Trout Brewing Company LLC,Active,911 Main Street,Andrews,,28901,PO Box 751,Andrews,NC ,28901,Cherokee,00235978BM,5/31/2017 12:50,Active
356,00235992CM-999,Mikes Pizza and Pasta,Henderson Leisure Properties Inc,Active,803 Spartanburg Hwy,Hendersonville,,28792,,,,,Henderson,00235992BM,6/12/2017 12:50,Active
,00235992CM-999,Mikes Pizza and Pasta,Henderson Leisure Properties Inc,Active,803 Spartanburg Hwy,Hendersonville,,28792,,,,,Henderson,00235992BW,6/12/2017 12:50,Active
,00235992CM-999,Mikes Pizza and Pasta,Henderson Leisure Properties Inc,Active,803 Spartanburg Hwy,Hendersonville,,28792,,,,,Henderson,00235992DG,6/12/2017 12:50,Active
357,00236136CM-999,Trophy Brewing,Trophy on Maywood LLC,Active,656 Maywood Avenue,Raleigh,,27603,,,,,Wake,00236136BM,11/28/2016 11:13,Active
,00236136CM-999,Trophy Brewing,Trophy on Maywood LLC,Active,656 Maywood Avenue,Raleigh,,27603,,,,,Wake,00236136BW,11/28/2016 11:13,Active
,00236136CM-999,Trophy Brewing,Trophy on Maywood LLC,Active,656 Maywood Avenue,Raleigh,,27603,,,,,Wake,00236136DG,11/28/2016 11:13,Active
358,00236136CM-,Trophy Brewing,Trophy on Maywood LLC,Pending-Temporary,827 West Morgan Street,Raleigh,,27603,,,,,Wake,,,
359,00236224CM-999,Mills River Brewery,Mills River Brewery LLC,Active,330 Rockwood Road Unit 103,Arden,,28704,,,,,Buncombe,00236224BM,3/21/2017 15:34,Active
,00236224CM-999,Mills River Brewery,Mills River Brewery LLC,Active,330 Rockwood Road Unit 103,Arden,,28704,,,,,Buncombe,00236224DG,3/21/2017 15:34,Active
,00236224CM-999,Mills River Brewery,Mills River Brewery LLC,Active,330 Rockwood Road Unit 103,Arden,,28704,,,,,Buncombe,00236224BW,3/21/2017 15:34,Active
360,00236279CM-999,Ruffton Brewhouse,"Mary  Keith Mooney, ",Cancelled,177 North Main Street,Rutherfordton,,28139,,,,,Rutherford,00236279BM,11/23/2016 10:32,Cancelled
,00236279CM-999,Ruffton Brewhouse,"Mary  Keith Mooney, ",Cancelled,177 North Main Street,Rutherfordton,,28139,,,,,Rutherford,00236279DG,11/23/2016 10:32,Cancelled
,00236279CM-999,Ruffton Brewhouse,"Mary  Keith Mooney, ",Cancelled,177 North Main Street,Rutherfordton,,28139,,,,,Rutherford,00236279BW,11/23/2016 10:32,Cancelled
361,00236525CM-999,Whistle Hop Brewing Company,Miceli Brewing LLC,Active,1288-A Charlotte Hwy,Fairview,,28730,PO Box 2642,Fairview,NC ,28730,Buncombe,00236525BW,9/9/2016 12:09,Active
,00236525CM-999,Whistle Hop Brewing Company,Miceli Brewing LLC,Active,1288-A Charlotte Hwy,Fairview,,28730,PO Box 2642,Fairview,NC ,28730,Buncombe,00236525BM,9/9/2016 12:09,Active
,00236525CM-999,Whistle Hop Brewing Company,Miceli Brewing LLC,Active,1288-A Charlotte Hwy,Fairview,,28730,PO Box 2642,Fairview,NC ,28730,Buncombe,00236525DG,9/9/2016 12:09,Active
362,00236644CM-999,Brown Truck Brewery,B T Brewery LLC,Active,1234 North Main Street,High Point,,27262,,,,,Guilford,00236644BM,10/4/2016 14:39,Active
,00236644CM-999,Brown Truck Brewery,B T Brewery LLC,Active,1234 North Main Street,High Point,,27262,,,,,Guilford,00236644DG,10/4/2016 14:39,Active
,00236644CM-999,Brown Truck Brewery,B T Brewery LLC,Active,1234 North Main Street,High Point,,27262,,,,,Guilford,00236644BW,10/4/2016 14:39,Active
363,00236655CM-998,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,163 Boone Creek Drive,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272488DG,2/25/2019 15:49,Active
,00236655CM-998,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,163 Boone Creek Drive,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272488BM,2/25/2019 15:49,Active
,00236655CM-998,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,163 Boone Creek Drive,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272488BW,2/25/2019 15:49,Active
364,00236655CM-997,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,289 Daniel Boone Drive Suite A-B,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272490BW,2/25/2019 16:03,Active
,00236655CM-997,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,289 Daniel Boone Drive Suite A-B,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272490UW,2/25/2019 16:03,Active
,00236655CM-997,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,289 Daniel Boone Drive Suite A-B,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272490BM,2/25/2019 16:03,Active
,00236655CM-997,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,289 Daniel Boone Drive Suite A-B,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272490WW,2/25/2019 16:03,Active
,00236655CM-997,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,289 Daniel Boone Drive Suite A-B,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272490WE,2/25/2019 16:03,Active
,00236655CM-997,Appalachian Mountain Brewery,Craft Brew Alliance Inc,Active,289 Daniel Boone Drive Suite A-B,Boone,,28607,929 North Russell Street,Portland,OR ,97227,Watauga,00272490DG,2/25/2019 16:03,Active
365,00236668CM-999,Seven Jars Distillery,Seven Jars Distillery LLC,Active,6148-A Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00236668DH,6/2/2017 15:04,Active
,00236668CM-999,Seven Jars Distillery,Seven Jars Distillery LLC,Active,6148-A Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00236668SE,8/17/2017 14:26,Active
,00236668CM-999,Seven Jars Distillery,Seven Jars Distillery LLC,Active,6148-A Brookshire Blvd,Charlotte,,28216,,,,,Mecklenburg,00236668DI,6/2/2017 15:04,Active
366,00236680CM-999,Tarboro Brewing Company,Tarboro Brewing Company,Active,526 North Main Street,Tarboro,,27886,,,,,Edgecombe,00236680BM,5/31/2017 12:18,Active
,00236680CM-999,Tarboro Brewing Company,Tarboro Brewing Company,Active,526 North Main Street,Tarboro,,27886,,,,,Edgecombe,00236680BW,5/31/2017 12:18,Active
,00236680CM-999,Tarboro Brewing Company,Tarboro Brewing Company,Active,526 North Main Street,Tarboro,,27886,,,,,Edgecombe,00236680DG,5/31/2017 12:18,Active
367,00236680CM-998,T B C West,Tarboro Brewing Company,Active,1121 Falls Road,Rocky Mount,,27886,526 North Main Street,Tarboro,NC ,27886,Nash,00254654BM,1/26/2018 10:37,Active
,00236680CM-998,T B C West,Tarboro Brewing Company,Active,1121 Falls Road,Rocky Mount,,27886,526 North Main Street,Tarboro,NC ,27886,Nash,00254654BW,1/26/2018 10:37,Active
368,00236856CM-999,H and H Distillery,H and H Distillery LLC,Active,204 Charlotte Hwy Suite D,Asheville,,28803,,,,,Buncombe,00236856SE,8/17/2017 14:30,Active
,00236856CM-999,H and H Distillery,H and H Distillery LLC,Active,204 Charlotte Hwy Suite D,Asheville,,28803,,,,,Buncombe,00236856DH,6/7/2017 11:02,Active
,00236856CM-999,H and H Distillery,H and H Distillery LLC,Active,204 Charlotte Hwy Suite D,Asheville,,28803,,,,,Buncombe,00236856DI,6/7/2017 11:02,Active
369,00236856CM-998,H and H Distillery,H and H Distillery LLC,Active,29 Page Avenue,Asheville,,28801,204 Charlotte Hwy Suite D,Asheville,NC ,28803,Buncombe,00276199DI,10/29/2019 14:24,Active
,00236856CM-998,H and H Distillery,H and H Distillery LLC,Active,29 Page Avenue,Asheville,,28801,204 Charlotte Hwy Suite D,Asheville,NC ,28803,Buncombe,00276199DH,10/29/2019 14:24,Active
370,00236926CM-999,Valley River Brewery,Valley River Brewery LLC,Cancelled,71 Tennessee Street,Murphy,,28906,,,,,Cherokee,00236926DG,5/31/2017 12:28,Cancelled
,00236926CM-999,Valley River Brewery,Valley River Brewery LLC,Cancelled,71 Tennessee Street,Murphy,,28906,,,,,Cherokee,00236926BW,5/31/2017 12:28,Cancelled
,00236926CM-999,Valley River Brewery,Valley River Brewery LLC,Cancelled,71 Tennessee Street,Murphy,,28906,,,,,Cherokee,00236926BM,5/31/2017 12:28,Cancelled
371,00237028CM-999,Bhramari Brewhouse,Hivemind Brewing LLC,Active,101 South Lexington Avenue,Asheville,,28801,,,,,Buncombe,00237028BM,7/26/2016 16:21,Active
,00237028CM-999,Bhramari Brewhouse,Hivemind Brewing LLC,Active,101 South Lexington Avenue,Asheville,,28801,,,,,Buncombe,00237028BW,7/26/2016 16:21,Active
,00237028CM-999,Bhramari Brewhouse,Hivemind Brewing LLC,Active,101 South Lexington Avenue,Asheville,,28801,,,,,Buncombe,00237028DG,7/26/2016 16:21,Active
372,00237093CM-999,Tight Lines Pub and Brewing Company,Tap House at Carteret Brewing LLC,Active,709 Arendell Street,Morehead City,,28557,,,,,Carteret,00237093BM,6/19/2017 11:59,Active
,00237093CM-999,Tight Lines Pub and Brewing Company,Tap House at Carteret Brewing LLC,Active,709 Arendell Street,Morehead City,,28557,,,,,Carteret,00237093BW,6/19/2017 12:00,Active
,00237093CM-999,Tight Lines Pub and Brewing Company,Tap House at Carteret Brewing LLC,Active,709 Arendell Street,Morehead City,,28557,,,,,Carteret,00237093DG,6/19/2017 12:00,Active
373,00237138CM-999,Kernersville Brewing Company,Kernersville Brewing Company LLC,Cancelled,210 North Main Street Suite 150,Kernersville,,27284,,,,,Forsyth,00237138BW,6/7/2017 11:30,Cancelled
,00237138CM-999,Kernersville Brewing Company,Kernersville Brewing Company LLC,Cancelled,210 North Main Street Suite 150,Kernersville,,27284,,,,,Forsyth,00237138BM,6/7/2017 11:30,Cancelled
